date,RH2M,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M_mean_3,RH2M_mean_5,RH2M_mean_7,RH2M_mean_14,rainfall_sum_3,rainfall_sum_5,rainfall_sum_7,temp_std_3,temp_std_5,RH2M_diff_1,RH2M_diff_3,rainfall_diff_3,RH2M_accel,RH2M_trend_3,high_humidity_flag,humidity_streak,rainfall_spike,rainfall_onset,temp_stability,state,risk_raw,pre_risk,variety_susceptibility,risk
2022-11-10,69.87,0.0,28.59,28.92,28.2,71.49666666666663,73.954,73.06428571428572,70.08714285714287,0.0,0.20000000000001422,0.2499999999999565,0.04041451883736658,0.09407443860885434,-2.3999999999999915,-7.509999999999991,-0.07,-2.319999999999993,-1.2399999999999956,0,0,False,False,True,DRY,0,0,0,0
2022-11-11,67.33,0.0,28.63,28.77,28.38,69.82333333333331,71.84,72.68142857142857,70.09071428571428,0.0,0.07000000000001422,0.2499999999999565,0.06110100926209569,0.046151923032224075,-2.5400000000000063,-5.019999999999996,0.0,-0.14000000000001478,-2.4699999999999975,0,0,False,False,True,DRY,0,0,0,0
2022-11-12,68.46,0.0,28.73,29.02,28.49,68.5533333333333,70.056,72.22285714285714,70.50928571428571,0.0,0.0,0.1999999999999565,0.07211102550571213,0.08294576541072109,1.1299999999999955,-3.8100000000000023,0.0,3.6700000000000017,-0.7049999999999977,0,0,False,False,True,DRY,0,0,0,0
2022-11-13,69.13,0.0,28.72,29.0,28.47,68.30666666666663,69.41199999999999,70.97,70.81785714285714,0.0,0.0,0.06999999999995649,0.055075705468039485,0.0920869154634284,0.6700000000000017,-0.7400000000000091,0.0,-0.45999999999999375,0.8999999999999994,0,0,False,False,True,DRY,0,0,0,0
2022-11-14,71.6,0.13,28.55,28.68,28.43,69.72999999999996,69.27799999999999,70.14428571428572,71.13642857142857,0.13000000000001422,0.13000000000001422,0.12999999999995648,0.10115993936738052,0.07924645102191169,2.469999999999999,4.269999999999996,0.13,1.7999999999999972,1.5699999999999974,0,0,False,False,True,DRY,0,0,0,0
2022-11-15,74.3,0.16,28.43,28.65,28.17,71.67666666666663,70.16399999999999,70.42285714285713,71.68357142857143,0.29000000000001425,0.29000000000001425,0.2899999999999565,0.14571661996097135,0.12537942414754433,2.700000000000003,5.840000000000003,0.16,0.23000000000000398,2.585000000000005,0,0,False,False,True,DRY,0,0,0,0
2022-11-16,74.16,0.0,28.09,28.22,27.96,73.35333333333331,71.53,70.69285714285714,72.09285714285714,0.29000000000001425,0.29000000000001425,0.2899999999999565,0.23860706890813582,0.2630209117153519,-0.14000000000000057,5.030000000000001,0.0,-2.8400000000000034,1.2799999999999998,0,0,False,False,True,DRY,0,0,0,0
2022-11-17,66.34,0.0,28.17,28.58,27.74,71.59999999999998,71.106,70.18857142857142,71.62642857142858,0.16000000000001421,0.29000000000001425,0.2899999999999565,0.17776388834532178,0.2619541944683837,-7.819999999999993,-5.259999999999991,-0.13,-7.679999999999993,-3.979999999999993,0,0,False,False,True,DRY,0,0,0,0
2022-11-18,64.8,0.0,28.24,28.54,27.86,68.4333333333333,70.24,69.82714285714285,71.25428571428571,0.0,0.29000000000001425,0.2899999999999565,0.07505553499247283,0.18968394765921648,-1.5400000000000063,-9.5,-0.16,6.279999999999987,-4.68,0,0,False,False,True,DRY,0,0,0,0
2022-11-19,61.6,0.0,28.11,28.52,27.73,64.24666666666664,68.24,68.84714285714286,70.535,0.0,0.16000000000001421,0.2899999999999565,0.0650640709839431,0.1371860051156396,-3.1999999999999957,-12.559999999999995,0.0,-1.6599999999999895,-2.3700000000000028,0,0,False,False,True,DRY,0,0,0,0
