date,risk_score,alert,true_label
2020-08-03,6.84666e-05,0,0.0
2020-08-04,1.0476756e-05,0,0.0
2020-08-05,6.3006614e-06,0,0.0
2020-08-06,5.742864e-06,0,0.0
2020-08-07,6.659374e-06,0,0.0
2020-08-08,9.99917e-05,0,0.0
2020-08-09,0.00016560871,0,0.0
2020-08-10,0.00015896025,0,0.0
2020-08-11,0.0009794487,0,0.0
2020-08-12,0.0014340953,0,0.0
2020-08-13,0.0018432549,0,0.0
2020-08-14,0.0021409276,0,0.0
2020-08-15,0.002040406,0,0.0
2020-08-16,0.00080928305,0,0.0
2020-08-17,0.0014853106,0,0.0
2020-08-18,0.001876683,0,0.0
2020-08-19,0.0032627613,0,0.0
2020-08-20,0.0033282752,0,0.0
2020-08-21,0.00484938,0,0.0
2020-08-22,0.011105248,0,0.0
2020-08-23,0.033964917,0,0.0
2020-08-24,0.039710067,0,0.0
2020-08-25,0.0553039,0,0.0
2020-08-26,0.05217474,0,0.0
2020-08-27,0.07421174,0,0.0
2020-08-28,0.055554055,0,0.0
2020-08-29,0.050372344,0,0.0
2020-08-30,0.044209138,0,0.0
2020-08-31,0.050532643,0,0.0
2020-09-01,0.05789981,0,0.0
2020-09-02,0.13914774,0,0.0
2020-09-03,0.07043207,0,0.0
2020-09-04,0.13105097,0,0.0
2020-09-05,0.061452556,0,0.0
2020-09-06,0.02165111,0,0.0
2020-09-07,0.009213487,0,0.0
2020-09-08,0.0018406635,0,0.0
2020-09-09,0.0010515131,0,0.0
2020-09-10,0.0005442626,0,0.0
2020-09-11,5.1519928e-05,0,0.0
2020-09-12,7.3311094e-05,0,0.0
2020-09-13,0.0003722574,0,0.0
2020-09-14,0.00068734,0,0.0
2020-09-15,0.01728666,0,0.0
2020-09-16,0.23935626,0,0.0
2020-09-17,0.32007906,0,0.0
2020-09-18,0.7725718,1,0.0
2020-09-19,0.95336294,1,0.0
2020-09-20,0.715434,1,0.0
2020-09-21,0.016593007,0,0.0
2020-09-22,0.0021024004,0,0.0
2020-09-23,2.2317518e-05,0,0.0
2020-09-24,1.8979732e-05,0,0.0
2020-09-25,8.601911e-05,0,0.0
2020-09-26,0.0006581173,0,0.0
2020-09-27,0.0027252638,0,0.0
2020-09-28,0.008135352,0,0.0
2020-09-29,0.0137035195,0,0.0
2020-09-30,0.06379594,0,0.0
2020-10-01,0.06957801,0,0.0
2020-10-02,0.0696097,0,0.0
2020-10-03,0.066768765,0,0.0
2020-10-04,0.12545438,0,0.0
2020-10-05,0.1625246,0,0.0
2020-10-06,0.1861791,0,0.0
2020-10-07,0.014836464,0,0.0
2020-10-08,0.20859787,0,0.0
2020-10-09,0.17812632,0,0.0
2020-10-10,0.18642017,0,0.0
2020-10-11,0.9536625,1,0.0
2020-10-12,0.5767571,1,0.0
2020-10-13,0.0781477,0,0.0
2020-10-14,0.037881956,0,0.0
2020-10-15,0.016858296,0,0.0
2020-10-16,0.0051585953,0,0.0
2020-10-17,0.0077889417,0,0.0
2020-10-18,0.025231674,0,0.0
2020-10-19,0.028005514,0,0.0
2020-10-20,0.064387515,0,0.0
2020-10-21,0.038213022,0,0.0
2020-10-22,0.032859292,0,0.0
2020-10-23,0.06065709,0,0.0
2020-10-24,0.06023719,0,0.0
2020-10-25,0.043594845,0,0.0
2020-10-26,0.017447894,0,0.0
2020-10-27,0.021894328,0,0.0
2020-10-28,0.027026216,0,0.0
2020-10-29,0.001780158,0,0.0
2020-10-30,5.7394598e-05,0,0.0
2020-10-31,1.9648085e-05,0,0.0
2020-11-01,5.578103e-07,0,0.0
2020-11-02,5.9703e-07,0,0.0
2020-11-03,1.7592458e-07,0,0.0
2020-11-04,1.7674978e-07,0,0.0
2020-11-05,2.497559e-11,0,0.0
2020-11-06,1.1952059e-14,0,0.0
2020-11-07,3.407272e-19,0,0.0
2020-11-08,3.2269216e-21,0,0.0
2020-11-09,3.3299437e-26,0,0.0
2020-11-10,1.9874937e-30,0,0.0
2020-11-11,1.6159848e-33,0,0.0
2020-11-12,8.4455895e-37,0,0.0
2020-11-13,0.0,0,0.0
2020-11-14,0.0,0,0.0
2020-11-15,0.0,0,0.0
2020-11-16,0.0,0,0.0
2020-11-17,0.0,0,0.0
2020-11-18,0.0,0,0.0
2020-11-19,0.0,0,0.0
2020-11-20,0.0,0,0.0
2020-11-21,0.0,0,0.0
2020-11-22,0.0,0,0.0
2020-11-23,0.0,0,0.0
2020-11-24,0.0,0,0.0
2020-11-25,0.0,0,0.0
2020-11-26,0.0,0,0.0
2020-11-27,0.0,0,0.0
2020-11-28,0.0,0,0.0
2020-11-29,0.0,0,0.0
2020-11-30,0.0,0,0.0
2020-12-01,0.0,0,0.0
2020-12-02,0.0,0,0.0
2020-12-03,0.0,0,0.0
2020-12-04,0.0,0,0.0
2020-12-05,0.0,0,0.0
2020-12-06,0.0,0,0.0
2020-12-07,0.0,0,0.0
2020-12-08,0.0,0,0.0
2020-12-09,1.937237e-37,0,0.0
2020-12-10,4.9418253e-33,0,0.0
